Sample,Location,File,Reads,Path,Loc
SUIB_046,SUIB,SUIB_046_R1.sort.flt.bam,802692,/home/maccamp/data/longfin/SUIB_046_R1.sort.flt.bam,SUIB
YBAK_001,YBAK,YBAK_001_R1.sort.flt.bam,611498,/home/maccamp/data/longfin/YBAK_001_R1.sort.flt.bam,YBAK
YBAK_002,YBAK,YBAK_002_R1.sort.flt.bam,1392621,/home/maccamp/data/longfin/YBAK_002_R1.sort.flt.bam,YBAK
YBAK_003,YBAK,YBAK_003_R1.sort.flt.bam,785231,/home/maccamp/data/longfin/YBAK_003_R1.sort.flt.bam,YBAK
YBAK_005,YBAK,YBAK_005_R1.sort.flt.bam,1380147,/home/maccamp/data/longfin/YBAK_005_R1.sort.flt.bam,YBAK
YBAK_006,YBAK,YBAK_006_R1.sort.flt.bam,1086259,/home/maccamp/data/longfin/YBAK_006_R1.sort.flt.bam,YBAK
YBAK_007,YBAK,YBAK_007_R1.sort.flt.bam,1221365,/home/maccamp/data/longfin/YBAK_007_R1.sort.flt.bam,YBAK
YBAK_008,YBAK,YBAK_008_R1.sort.flt.bam,1264087,/home/maccamp/data/longfin/YBAK_008_R1.sort.flt.bam,YBAK
YBAK_009,YBAK,YBAK_009_R1.sort.flt.bam,1203149,/home/maccamp/data/longfin/YBAK_009_R1.sort.flt.bam,YBAK
YBAK_010,YBAK,YBAK_010_R1.sort.flt.bam,1155217,/home/maccamp/data/longfin/YBAK_010_R1.sort.flt.bam,YBAK
YBAK_011,YBAK,YBAK_011_R1.sort.flt.bam,841957,/home/maccamp/data/longfin/YBAK_011_R1.sort.flt.bam,YBAK
YBAK_012,YBAK,YBAK_012_R1.sort.flt.bam,668683,/home/maccamp/data/longfin/YBAK_012_R1.sort.flt.bam,YBAK
YBAK_014,YBAK,YBAK_014_R1.sort.flt.bam,734572,/home/maccamp/data/longfin/YBAK_014_R1.sort.flt.bam,YBAK
YBAK_015,YBAK,YBAK_015_R1.sort.flt.bam,1211705,/home/maccamp/data/longfin/YBAK_015_R1.sort.flt.bam,YBAK
YBAK_016,YBAK,YBAK_016_R1.sort.flt.bam,1392226,/home/maccamp/data/longfin/YBAK_016_R1.sort.flt.bam,YBAK
YBAK_017,YBAK,YBAK_017_R1.sort.flt.bam,1254641,/home/maccamp/data/longfin/YBAK_017_R1.sort.flt.bam,YBAK
YBAK_018,YBAK,YBAK_018_R1.sort.flt.bam,1270060,/home/maccamp/data/longfin/YBAK_018_R1.sort.flt.bam,YBAK
YBAK_020,YBAK,YBAK_020_R1.sort.flt.bam,1239618,/home/maccamp/data/longfin/YBAK_020_R1.sort.flt.bam,YBAK
YBAK_021,YBAK,YBAK_021_R1.sort.flt.bam,1154727,/home/maccamp/data/longfin/YBAK_021_R1.sort.flt.bam,YBAK
YBAK_022,YBAK,YBAK_022_R1.sort.flt.bam,660810,/home/maccamp/data/longfin/YBAK_022_R1.sort.flt.bam,YBAK
YBAK_023,YBAK,YBAK_023_R1.sort.flt.bam,649354,/home/maccamp/data/longfin/YBAK_023_R1.sort.flt.bam,YBAK
19-0225-2,New,19-0225-2.sort.flt.bam,84370,data/new-data/19-0225-2.sort.flt.bam,19-0225
19-0225-3,New,19-0225-3.sort.flt.bam,132724,data/new-data/19-0225-3.sort.flt.bam,19-0225
19-0225-4,New,19-0225-4.sort.flt.bam,95484,data/new-data/19-0225-4.sort.flt.bam,19-0225
20-1325-10,New,20-1325-10.sort.flt.bam,118725,data/new-data/20-1325-10.sort.flt.bam,20-1325
20-1325-11,New,20-1325-11.sort.flt.bam,149222,data/new-data/20-1325-11.sort.flt.bam,20-1325
20-1325-12,New,20-1325-12.sort.flt.bam,68783,data/new-data/20-1325-12.sort.flt.bam,20-1325
20-1325-13,New,20-1325-13.sort.flt.bam,139797,data/new-data/20-1325-13.sort.flt.bam,20-1325
20-1325-14,New,20-1325-14.sort.flt.bam,85518,data/new-data/20-1325-14.sort.flt.bam,20-1325
20-1325-15,New,20-1325-15.sort.flt.bam,313765,data/new-data/20-1325-15.sort.flt.bam,20-1325
20-1325-16,New,20-1325-16.sort.flt.bam,53986,data/new-data/20-1325-16.sort.flt.bam,20-1325
20-1325-18,New,20-1325-18.sort.flt.bam,57046,data/new-data/20-1325-18.sort.flt.bam,20-1325
20-1325-19,New,20-1325-19.sort.flt.bam,96432,data/new-data/20-1325-19.sort.flt.bam,20-1325
20-1325-2,New,20-1325-2.sort.flt.bam,94547,data/new-data/20-1325-2.sort.flt.bam,20-1325
20-1325-3,New,20-1325-3.sort.flt.bam,61952,data/new-data/20-1325-3.sort.flt.bam,20-1325
20-1325-6,New,20-1325-6.sort.flt.bam,85007,data/new-data/20-1325-6.sort.flt.bam,20-1325
20-1325-7,New,20-1325-7.sort.flt.bam,295021,data/new-data/20-1325-7.sort.flt.bam,20-1325
20-1325-8,New,20-1325-8.sort.flt.bam,74334,data/new-data/20-1325-8.sort.flt.bam,20-1325
20-1325-9,New,20-1325-9.sort.flt.bam,88575,data/new-data/20-1325-9.sort.flt.bam,20-1325
20-1329-1,New,20-1329-1.sort.flt.bam,73939,data/new-data/20-1329-1.sort.flt.bam,20-1329
20-1329-2,New,20-1329-2.sort.flt.bam,66511,data/new-data/20-1329-2.sort.flt.bam,20-1329
20-1329-3,New,20-1329-3.sort.flt.bam,129627,data/new-data/20-1329-3.sort.flt.bam,20-1329
20-1329-5,New,20-1329-5.sort.flt.bam,63652,data/new-data/20-1329-5.sort.flt.bam,20-1329
20-1373-11,New,20-1373-11.sort.flt.bam,65382,data/new-data/20-1373-11.sort.flt.bam,20-1373
20-1373-16,New,20-1373-16.sort.flt.bam,88099,data/new-data/20-1373-16.sort.flt.bam,20-1373
20-1373-20,New,20-1373-20.sort.flt.bam,50561,data/new-data/20-1373-20.sort.flt.bam,20-1373
20-1373-2,New,20-1373-2.sort.flt.bam,109569,data/new-data/20-1373-2.sort.flt.bam,20-1373
20-1373-8,New,20-1373-8.sort.flt.bam,66688,data/new-data/20-1373-8.sort.flt.bam,20-1373
20-1375-10,New,20-1375-10.sort.flt.bam,74074,data/new-data/20-1375-10.sort.flt.bam,20-1375
20-1375-12,New,20-1375-12.sort.flt.bam,109350,data/new-data/20-1375-12.sort.flt.bam,20-1375
20-1375-14,New,20-1375-14.sort.flt.bam,144357,data/new-data/20-1375-14.sort.flt.bam,20-1375
20-1375-1,New,20-1375-1.sort.flt.bam,77878,data/new-data/20-1375-1.sort.flt.bam,20-1375
20-1375-20,New,20-1375-20.sort.flt.bam,55045,data/new-data/20-1375-20.sort.flt.bam,20-1375
20-1375-2,New,20-1375-2.sort.flt.bam,56914,data/new-data/20-1375-2.sort.flt.bam,20-1375
20-1375-6,New,20-1375-6.sort.flt.bam,182349,data/new-data/20-1375-6.sort.flt.bam,20-1375
20-1375-9,New,20-1375-9.sort.flt.bam,68001,data/new-data/20-1375-9.sort.flt.bam,20-1375
Nksk-2018_226,New,Nksk-2018_226.sort.flt.bam,84004,data/new-data/Nksk-2018_226.sort.flt.bam,Nksk
Nksk-2018_227,New,Nksk-2018_227.sort.flt.bam,120139,data/new-data/Nksk-2018_227.sort.flt.bam,Nksk
Nksk-2018_228,New,Nksk-2018_228.sort.flt.bam,89396,data/new-data/Nksk-2018_228.sort.flt.bam,Nksk
Nksk-2018_229,New,Nksk-2018_229.sort.flt.bam,84253,data/new-data/Nksk-2018_229.sort.flt.bam,Nksk
Nksk-2018_231,New,Nksk-2018_231.sort.flt.bam,104482,data/new-data/Nksk-2018_231.sort.flt.bam,Nksk
Nksk-2018_232,New,Nksk-2018_232.sort.flt.bam,83768,data/new-data/Nksk-2018_232.sort.flt.bam,Nksk
Nksk-2018_234,New,Nksk-2018_234.sort.flt.bam,61077,data/new-data/Nksk-2018_234.sort.flt.bam,Nksk
Nksk-2018_236,New,Nksk-2018_236.sort.flt.bam,150072,data/new-data/Nksk-2018_236.sort.flt.bam,Nksk
Nksk-2018_239,New,Nksk-2018_239.sort.flt.bam,78004,data/new-data/Nksk-2018_239.sort.flt.bam,Nksk
Nksk-2018_240,New,Nksk-2018_240.sort.flt.bam,60473,data/new-data/Nksk-2018_240.sort.flt.bam,Nksk
Nksk-2018_242,New,Nksk-2018_242.sort.flt.bam,65242,data/new-data/Nksk-2018_242.sort.flt.bam,Nksk
Nksk-2018_243,New,Nksk-2018_243.sort.flt.bam,109265,data/new-data/Nksk-2018_243.sort.flt.bam,Nksk
Nksk-2018_244,New,Nksk-2018_244.sort.flt.bam,157300,data/new-data/Nksk-2018_244.sort.flt.bam,Nksk
